epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,12875.2,2.4101,2.84124,2.77934,0.06827,0.40909,0.12461,0.03332,2.40465,2.75116,2.97274,0.00144164,0.00144164,0.00144164
143,13000,2.41194,2.81459,2.79206,0.10234,0.40909,0.13319,0.04069,2.46717,2.86733,3.05574,0.00143768,0.00143768,0.00143768
144,13124.4,2.39013,2.87706,2.69037,0.14018,0.36364,0.11245,0.03395,2.4974,2.96109,3.10561,0.00143372,0.00143372,0.00143372
145,13187.9,2.38253,2.94051,2.69844,0.13411,0.31818,0.10389,0.03044,2.46469,3.09913,3.07668,0.00142976,0.00142976,0.00142976
146,13277,2.39178,2.89223,2.77666,0.06853,0.31818,0.08214,0.02506,2.47282,3.1422,3.09689,0.0014258,0.0014258,0.0014258
147,13364.2,2.33779,2.87286,2.71527,0.04663,0.59091,0.07347,0.02523,2.46127,2.94899,3.09353,0.00142184,0.00142184,0.00142184
148,13453.3,2.39099,2.75988,2.70309,0.05321,0.54545,0.06343,0.02575,2.43071,2.76021,3.07066,0.00141788,0.00141788,0.00141788
149,13537.9,2.38741,2.92902,2.74089,0.04567,0.59091,0.07315,0.02581,2.54947,2.62585,3.08011,0.00141392,0.00141392,0.00141392
150,13619.1,2.39244,2.87868,2.71042,0.0529,0.63636,0.08605,0.02398,2.49442,2.57642,3.00562,0.00140996,0.00140996,0.00140996
151,13707.4,2.40827,2.78651,2.72289,0.05314,0.59091,0.08198,0.02344,2.45692,2.62904,3.0108,0.001406,0.001406,0.001406
152,13826.8,2.35669,2.82189,2.64982,0.05188,0.68182,0.07109,0.0168,2.40905,2.82609,3.02563,0.00140204,0.00140204,0.00140204
153,13880.8,2.34366,2.75806,2.71394,0.01105,0.54545,0.01847,0.00592,2.43409,3.70249,3.13775,0.00139808,0.00139808,0.00139808
154,13954.9,2.37196,2.81849,2.78315,0.00747,0.72727,0.01175,0.00394,2.64236,3.92959,3.42349,0.00139412,0.00139412,0.00139412
155,14063.8,2.37364,2.78867,2.7221,0.01118,0.54545,0.01723,0.00548,2.67024,3.47815,3.3665,0.00139016,0.00139016,0.00139016
156,14132.9,2.4944,2.85557,2.75488,0.0189,0.5,0.03122,0.00996,2.66808,2.91857,3.23063,0.0013862,0.0013862,0.0013862
157,14225.6,2.29784,2.82081,2.63231,0.03777,0.63636,0.04939,0.01444,2.604,2.77269,3.07859,0.00138224,0.00138224,0.00138224
158,14347.5,2.30405,2.86863,2.70054,0.07697,0.54545,0.07254,0.02251,2.54409,2.70976,2.95453,0.00137828,0.00137828,0.00137828
159,14418.7,2.39293,2.81871,2.70312,0.09487,0.36364,0.08372,0.02611,2.6293,2.70821,2.95715,0.00137432,0.00137432,0.00137432
160,14501.3,2.3722,2.76772,2.71124,0.09568,0.22727,0.10014,0.02684,2.6399,2.78832,3.07528,0.00137036,0.00137036,0.00137036
161,14585.1,2.34888,2.75743,2.6859,0.09609,0.27273,0.08253,0.0225,2.74236,3.04159,3.18267,0.0013664,0.0013664,0.0013664
162,14641.6,2.43748,2.89996,2.68646,0.04597,0.27273,0.03082,0.00808,2.84921,3.59867,3.79787,0.00136244,0.00136244,0.00136244
163,14699.4,2.44117,2.82627,2.75817,0.05616,0.31818,0.04624,0.0142,2.79038,3.44436,3.93261,0.00135848,0.00135848,0.00135848
164,14770.2,2.33152,2.8325,2.71489,0.042,0.36364,0.03788,0.01053,2.8499,3.60336,4.26355,0.00135452,0.00135452,0.00135452
165,14889.7,2.37542,2.80423,2.70756,0.13129,0.22727,0.11473,0.02038,2.81147,3.27873,4.27889,0.00135056,0.00135056,0.00135056
166,14990.5,2.38556,2.82389,2.73051,0.14851,0.31818,0.15721,0.02678,2.84875,3.03657,3.97495,0.0013466,0.0013466,0.0013466
167,15062.5,2.38863,2.77645,2.68545,0.18417,0.27273,0.21477,0.05091,2.82253,2.86725,3.44166,0.00134264,0.00134264,0.00134264
168,15162.7,2.38725,2.78533,2.66536,0.21494,0.22727,0.20741,0.05205,2.74772,2.89062,3.2575,0.00133868,0.00133868,0.00133868
169,15257,2.4493,2.83636,2.73354,0.22469,0.31818,0.18781,0.05446,2.63066,2.92434,3.09024,0.00133472,0.00133472,0.00133472
170,15320.7,2.36785,2.80898,2.6063,0.13485,0.09091,0.14135,0.05398,2.67808,2.79446,3.08494,0.00133076,0.00133076,0.00133076
171,15448,2.36266,2.86019,2.65243,0.09174,0.13636,0.12248,0.04834,2.52256,2.73455,2.99914,0.0013268,0.0013268,0.0013268
172,15562.8,2.41211,2.79724,2.66534,0.08511,0.5,0.11251,0.04118,2.55143,2.78615,3.07707,0.00132284,0.00132284,0.00132284
173,15656.9,2.39345,2.7728,2.66899,0.08647,0.63636,0.09396,0.02271,2.44158,2.98528,3.01916,0.00131888,0.00131888,0.00131888
174,15740,2.39514,2.73565,2.66856,0.11741,0.13636,0.10025,0.0189,2.49419,4.05127,3.15083,0.00131492,0.00131492,0.00131492
175,15832.1,2.2821,2.75518,2.62753,0.09477,0.18182,0.11433,0.02098,2.52654,4.14867,3.16331,0.00131096,0.00131096,0.00131096
176,15910.4,2.38151,2.74069,2.66636,0.1029,0.45455,0.14333,0.02841,2.40309,3.43798,2.96699,0.001307,0.001307,0.001307
177,16019.1,2.36499,2.76345,2.63832,0.18059,0.68182,0.2051,0.0536,2.48701,2.76086,3.01529,0.00130304,0.00130304,0.00130304
178,16111.7,2.35984,2.81106,2.68838,0.14267,0.68182,0.20205,0.05845,2.54393,2.57981,3.00984,0.00129908,0.00129908,0.00129908
179,16230.6,2.33662,2.76375,2.72612,0.13012,0.63636,0.18604,0.05572,2.53203,2.47392,2.98194,0.00129512,0.00129512,0.00129512
180,16346.1,2.33915,2.83694,2.67779,0.12067,0.54545,0.15199,0.04855,2.50185,2.47983,2.95483,0.00129116,0.00129116,0.00129116
181,16420.3,2.41443,2.86031,2.70258,0.08472,0.36364,0.06762,0.02183,2.35524,2.85712,3.01579,0.0012872,0.0012872,0.0012872
182,16503.3,2.37595,2.82209,2.69278,0.05579,0.22727,0.05649,0.01765,2.36526,2.92796,2.99772,0.00128324,0.00128324,0.00128324
